,Specialization,Doctor_Name,Experience,Location,Consultation_fee,Rating,Review,Hospital_Name
181,['General Physician1'],Dr. Lakshmi Godavarthy,25 years experience overall,"Kondapur,Hyderabad",₹800,78% ,5 Patient Stories,Vibha Childrens Clinic
182,['General Physician1'],Dr. Alekya Singapore,10 years experience overall,"Kondapur,Hyderabad",₹700,90% ,28 Patient Stories,Vibha Childrens Clinic
183,['General Physician'],Dr. B. Chaithanya,16 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,4 Patient Stories,Vibha Childrens Clinic
184,['General Physician'],Mr. Riju Raj Roy,12 years experience overall,"Banjara Hills,Hyderabad",₹1800,95% ,120 Patient Stories,Vibha Childrens Clinic
185,['General Physician1'],Dr. Raja Sekhar M,12 years experience overall,"SR Nagar,Hyderabad",₹500,100% ,2 Patient Stories,Vibha Childrens Clinic
186,['General Physician1'],Mr. Srikanth Majjiga,7 years experience overall,"Quthbullapur,Hyderabad",₹2000,100% ,27 Patient Stories,Vibha Childrens Clinic
187,['General Physician1'],Dr. Naveen Atluru,12 years experience overall,"Banjara Hills,Hyderabad",₹1000,97% ,22 Patient Stories,Vibha Childrens Clinic
188,['General Physician1'],Dr. Anil Kotamreddy,19 years experience overall,"Kondapur,Hyderabad",₹900,100% ,2 Patient Stories,Vibha Childrens Clinic
189,['General Physician1'],Dr. Sriteja Vemulapalli,11 years experience overall,"Kukatpally,Hyderabad",₹600,100% ,NaN,Vibha Childrens Clinic
190,['Ear-Nose-Throat (ENT) Specialist2'],Dr. Krishna Bojja,20 years experience overall,"Chanda Nagar,Hyderabad",₹600,80% ,16 Patient Stories,Apollo Clinic
191,['Hair Transplant Surgeon1'],Dr. Nagaraju D,11 years experience overall,"Kukatpally,Hyderabad",₹500,97% ,14 Patient Stories,Apollo Clinic
192,['Orthopedist1'],Dr. P.Sharath Babu,19 years experience overall,"Serilingampally,Hyderabad",₹500,92% ,84 Patient Stories,Apollo Clinic
193,['Cardiologist1'],Dr. Alok Ranjan,17 years experience overall,"Jubilee Hills,Hyderabad",₹1000,60% ,3 Patient Stories,Apollo Clinic
194,['Neurosurgeon1'],Dr. Bharath Reddy D,13 years experience overall,"Hitech City,Hyderabad",₹500,100% ,1 Patient Story,Apollo Clinic
195,['Dermatologist1'],Dr. Prathyusha,13 years experience overall,"KPHB,Hyderabad",₹600,97% ,32 Patient Stories,Apollo Clinic
196,['General Physician1'],Dr. Aashritha Mekala,11 years experience overall,"Attapur,Hyderabad",₹300,100% ,25 Patient Stories,Apollo Clinic
197,['Ear-Nose-Throat (ENT) Specialist1'],Dr. Chinny Sree M,10 years experience overall,"KPHB,Hyderabad",₹750,NaN,NaN,Apollo Clinic
198,['Rheumatologist'],Dr. Rooma Sinha,32 years experience overall,"Jubilee Hills,Hyderabad",₹1000,92% ,44 Patient Stories,Apollo Clinic
199,['Psychiatrist'],Dr. Gautami Nagabhirava,9 years experience overall,"Nizampet,Hyderabad",₹600,100% ,6 Patient Stories,Apollo Clinic
200,['Ear-Nose-Throat (ENT) Specialist1'],Dr. Mohd. A.Rafey,34 years experience overall,"Hyderguda,Hyderabad",₹800,100% ,9 Patient Stories,Apollo Hospital
201,['General Physician1'],Dr. Raja Rajeswari,44 years experience overall,"Kukatpally,Hyderabad",₹500,91% ,19 Patient Stories,Apollo Hospital
202,['Dermatologist1'],Dr. Vangallu Padmini Silpa,15 years experience overall,"Kondapur,Hyderabad",₹700,89% ,28 Patient Stories,Apollo Hospital
203,['Gastroenterologist2'],Dr. Prashant Hegde,22 years experience overall,"Madhapur,Hyderabad",₹750,96% ,121 Patient Stories,Apollo Hospital
204,['Physiotherapist'],Dr. Pradyut Waghray,34 years experience overall,"Jubilee Hills,Hyderabad",₹1500,87% ,18 Patient Stories,Apollo Hospital
205,['Cardiologist2'],Dr. Rajagopal V,38 years experience overall,"Jubilee Hills,Hyderabad",₹1000,94% ,10 Patient Stories,Apollo Hospital
206,['Psychologist'],Dr. S. Bala Ram Babu,23 years experience overall,"Kukatpally,Hyderabad",₹600,86% ,244 Patient Stories,Apollo Hospital
207,['Gynecologist/Obstetrician1'],Dr. Pratap Chandra Rath,43 years experience overall,"Jubilee Hills,Hyderabad",₹1500,100% ,2 Patient Stories,Apollo Hospital
208,['Gynecologist/Obstetrician2'],Dr. S Srikanth Reddy,17 years experience overall,"Hitech City,Hyderabad",₹500,98% ,22 Patient Stories,Apollo Hospital
209,['Gastroenterologist1'],Dr. Jasmin Rath,19 years experience overall,"Jubilee Hills,Hyderabad",₹800,94% ,67 Patient Stories,Apollo Hospital
210,['Anesthesiologist2'],Dr. Shekhar Reddy Gurrala,28 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,2 Patient Stories,Apollo Hospitals
211,['Gynecologist/Obstetrician3'],Dr. K. Suma,35 years experience overall,"Kukatpally,Hyderabad",₹700,93% ,145 Patient Stories,Apollo Hospitals
212,['Orthopedist3'],Dr. Mallpragada Hari Sharma,35 years experience overall,"Hyderguda,Hyderabad",₹500,92% ,7 Patient Stories,Apollo Hospitals
213,['Gynecologist/Obstetrician1'],Dr. Chandana Galidevara,14 years experience overall,"Kondapur,Hyderabad",₹700,99% ,62 Patient Stories,Apollo Hospitals
214,['Neurosurgeon2'],Dr. Kaushal Ippili,22 years experience overall,"Jubilee Hills,Hyderabad",₹1200,95% ,92 Patient Stories,Apollo Hospitals
215,['Nephrologist2'],Dr. J.AL.Ranganath,23 years experience overall,"Hitech City,Hyderabad",₹500,95% ,47 Patient Stories,Apollo Hospitals
216,['Ear-Nose-Throat (ENT) Specialist2'],Dr. Sriprakash Vinnakota,24 years experience overall,"KPHB,Hyderabad",₹750,83% ,377 Patient Stories,Apollo Hospitals
217,['Dentist1'],Dr. Arjun Thiruvaipati,11 years experience overall,"Nallagandla,Hyderabad",₹300,100% ,11 Patient Stories,Apollo Hospitals
218,['Orthopedist1'],Dr. R. Suneel,16 years experience overall,"Hitech City,Hyderabad",₹500,93% ,9 Patient Stories,Apollo Hospitals
219,['Bariatric Surgeon3'],Dr. Ananda Kumar,30 years experience overall,"Ameerpet,Hyderabad",₹1200,98% ,824 Patient Stories,Apollo Hospitals
220,['Orthopedist1'],Dr. M.Kaushik Reddy,17 years experience overall,"Jubilee Hills,Hyderabad",₹1000,95% ,25 Patient Stories,Apollo Hospitals
221,['Neurosurgeon4'],Dr. A.K. Purohit,42 years experience overall,"Ameerpet,Hyderabad",₹800,100% ,18 Patient Stories,Apollo Hospitals
222,['Internal Medicine5'],Dr. Vinod Kumar Bhargava,58 years experience overall,"Jubilee Hills,Hyderabad",₹1500,100% ,4 Patient Stories,Apollo Hospitals
223,['Urologist3'],Dr. Rama Sanjay Y,32 years experience overall,"Ameerpet,Hyderabad",₹700,76% ,25 Patient Stories,Apollo Hospitals
224,['Pulmonologist4'],Dr. Qamar Hussain Ansari,49 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,3 Patient Stories,Apollo Hospitals
225,['Nephrologist1'],Dr. Aswini Kumar Panigrahi,18 years experience overall,"Jubilee Hills,Hyderabad",₹1000,92% ,6 Patient Stories,Apollo Hospitals
226,['Cardiologist4'],Dr. Venkata Rayudu Nekkanti,47 years experience overall,"Jubilee Hills,Hyderabad",₹700,83% ,12 Patient Stories,Apollo Hospitals
227,['Orthopedist5'],Dr. Jairamchander Pingle,51 years experience overall,"Jubilee Hills,Hyderabad",₹1000,94% ,10 Patient Stories,Apollo Hospitals
228,['Reproductive Endocrinologist (Infertility)1'],Dr. Vimee Bindra,15 years experience overall,"Jubilee Hills,Hyderabad",₹2000,98% ,227 Patient Stories,Apollo Hospitals
229,['Cardiologist4'],Dr. Tripti Deb,46 years experience overall,"Jubilee Hills,Hyderabad",₹1000,65% ,17 Patient Stories,Apollo Hospitals
230,['Pulmonologist2'],Dr. Mallikarjun Rao,21 years experience overall,"Hyderguda,Hyderabad",₹600,100% ,4 Patient Stories,Apollo Hospital
231,['Urologist2'],Dr. C Raveendra Reddy,21 years experience overall,"Miyapur,Hyderabad",₹600,93% ,36 Patient Stories,Apollo Hospital
232,['Ear-Nose-Throat (ENT) Specialist3'],Dr. Ranbeer Singh,38 years experience overall,"Himayat Nagar,Hyderabad",₹900,95% ,118 Patient Stories,Apollo Hospital
233,['Urologist4'],Dr. G.C.Malakondaiah,44 years experience overall,"Lakdikapul,Hyderabad",₹950,100% ,6 Patient Stories,Apollo Hospital
234,['Cardiologist4'],Dr. (Col) Sitaram M,45 years experience overall,"Secunderabad,Hyderabad",₹800,100% ,12 Patient Stories,Apollo Hospital
235,['Pediatrician1'],Dr. Taheer Shaik,17 years experience overall,"Kondapur,Hyderabad",₹700,100% ,3 Patient Stories,Apollo Hospital
236,['Urologist2'],Dr. Sanjay Sinha,27 years experience overall,"Hyderguda,Hyderabad",₹1000,95% ,19 Patient Stories,Apollo Hospital
237,['Cardiologist2'],Dr. P Sridhar,22 years experience overall,"Hitech City,Hyderabad",₹700,100% ,17 Patient Stories,Apollo Hospital
238,['Orthopedist4'],Dr. G Durga Rao,29 years experience overall,"Banjara Hills,Hyderabad",₹750,97% ,112 Patient Stories,Apollo Hospital
239,['Gynecologist/Obstetrician2'],Dr. S.Krishna Reddy,44 years experience overall,"Jubilee Hills,Hyderabad",₹1000,91% ,7 Patient Stories,Apollo Hospital
240,['Ophthalmologist4'],Dr. Sree Kumar Reddy,40 years experience overall,"Jubilee Hills,Hyderabad",₹800,95% ,8 Patient Stories,Apollo Hospitals
241,['Gynecologist/Obstetrician3'],Dr. Ramesh Srinivasan,27 years experience overall,"Jubilee Hills,Hyderabad",₹800,97% ,18 Patient Stories,Apollo Hospitals
242,['Gastroenterologist2'],Dr. Rooma Sinha,32 years experience overall,"Jubilee Hills,Hyderabad",₹1000,92% ,44 Patient Stories,Apollo Hospitals
243,['\xa0Ayurveda4'],Dr. S Sarangapani,43 years experience overall,"Erragadda,Hyderabad",₹500,99% ,146 Patient Stories,Apollo Hospitals
244,['Laparoscopic Surgeon2'],Dr. Ramesh Vasudevan,25 years experience overall,"Jubilee Hills,Hyderabad",₹800,95% ,16 Patient Stories,Apollo Hospitals
245,['Nephrologist4'],Dr. Somasekhar M,42 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,5 Patient Stories,Apollo Hospitals
246,['Pediatric Surgeon2'],Dr. Yoga Nagender M,25 years experience overall,"Jubilee Hills,Hyderabad",₹800,88% ,40 Patient Stories,Apollo Hospitals
247,['Cardiac Surgeon2'],Dr. Pramod Reddy Kandakure,27 years experience overall,"Hitech City,Hyderabad",₹500,100% ,12 Patient Stories,Apollo Hospitals
248,['Cardiologist4'],Dr. P. Seshagiri Rao,46 years experience overall,"Jubilee Hills,Hyderabad",₹1000,83% ,1 Patient Story,Apollo Hospitals
249,['Gynecologist/Obstetrician1'],Dr. Shalni .S,12 years experience overall,"Madhapur,Hyderabad",₹600,96% ,56 Patient Stories,Apollo Hospitals
250,['Orthopedist2'],Dr. Satish Reddy Gandavarapu,28 years experience overall,"Ameerpet,Hyderabad",₹500,90% ,39 Patient Stories,Aster Prime Hospital
251,['Urologist4'],Dr. Subramanyam Kolanukuduru,41 years experience overall,"Jubilee Hills,Hyderabad",₹1000,95% ,14 Patient Stories,Aster Prime Hospital
252,['Urologist3'],Dr. KVR Prasad,35 years experience overall,"Hitech City,Hyderabad",₹500,89% ,37 Patient Stories,Aster Prime Hospital
253,['Cardiologist2'],Dr. Gokul Reddy,27 years experience overall,"Jubilee Hills,Hyderabad",₹1000,97% ,32 Patient Stories,Aster Prime Hospital
254,['GastroIntestinal Surgeon2'],Dr. Bharat Kumar Nara,21 years experience overall,"Lakdikapul,Hyderabad",₹800,97% ,13 Patient Stories,Aster Prime Hospital
255,['Laparoscopic Surgeon3'],Dr. Rajnesh Chander Reddy,38 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,2 Patient Stories,Aster Prime Hospital
256,['Diabetologist3'],Dr. Rabinder Nath Mehrotra,35 years experience overall,"Jubilee Hills,Hyderabad",₹1000,82% ,11 Patient Stories,Aster Prime Hospital
257,['Cardiothoracic Surgeon4'],Dr. AGK Gokhale,41 years experience overall,"Jubilee Hills,Hyderabad",₹1500,92% ,2 Patient Stories,Aster Prime Hospital
258,['Urologist3'],Dr. A V Ravi Kumar,35 years experience overall,"Hitech City,Hyderabad",₹500,95% ,26 Patient Stories,Aster Prime Hospital
259,['Gynecologist/Obstetrician2'],Dr. Anuradha Panda,27 years experience overall,"Jubilee Hills,Hyderabad",₹1000,89% ,20 Patient Stories,Aster Prime Hospital
260,['General Surgeon4'],Dr. Pinjala Ramakrishna,40 years experience overall,"Jubilee Hills,Hyderabad",₹1000,88% ,13 Patient Stories,Apollo Hospitals
261,['General Surgeon1'],Dr. CH. Venkata Pavan Kumar,18 years experience overall,"Hitech City,Hyderabad",₹500,87% ,14 Patient Stories,Apollo Hospitals
262,['Orthopedist2'],Dr. A Mohan Krishna,21 years experience overall,"Jubilee Hills,Hyderabad",₹1000,99% ,132 Patient Stories,Apollo Hospitals
263,['Ear-Nose-Throat (ENT) Specialist3'],Dr. EC Vinaya Kumar,35 years experience overall,"Jubilee Hills,Hyderabad",₹800,80% ,6 Patient Stories,Apollo Hospitals
264,['Cardiothoracic Surgeon3'],Dr. Dharma Rakshak Ayapati,38 years experience overall,"Secunderabad,Hyderabad",₹800,96% ,21 Patient Stories,Apollo Hospitals
265,['Psychologist3'],Dr. Namita Singh   (PhD),32 years experience overall,"Jubilee Hills,Hyderabad",₹1700,100% ,4 Patient Stories,Apollo Hospitals
266,['Laparoscopic Surgeon3'],Dr. Anand K Reddy,31 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,NaN,Apollo Hospitals
267,['Ophthalmologist3'],Dr. Indumathy T Ramachandran,34 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,6 Patient Stories,Apollo Hospitals
268,['Gynecologist/Obstetrician2'],Dr. Lavanya. B,21 years experience overall,"Madhapur,Hyderabad",₹600,89% ,13 Patient Stories,Apollo Hospitals
269,['Gynecologist/Obstetrician3'],Dr. Revathy Ramaswamy,34 years experience overall,"Secunderabad,Hyderabad",₹800,95% ,42 Patient Stories,Apollo Hospitals
270,['Thoracic (Chest) Surgeon4'],Dr. Vijay Dikshit,49 years experience overall,"Jubilee Hills,Hyderabad",₹1000,82% ,6 Patient Stories,Apollo Hospitals
271,['Endocrinologist1'],Dr. Ravi Kumar,19 years experience overall,"KPHB,Hyderabad",₹1000,94% ,1423 Patient Stories,Apollo Hospitals
272,['Cardiologist2'],Dr. Anil Krishna Gundala,21 years experience overall,"Hitech City,Hyderabad",₹500,94% ,10 Patient Stories,Apollo Hospitals
273,['Nephrologist2'],Dr. Kamal Kiran,29 years experience overall,"Hitech City,Hyderabad",₹1000,94% ,3 Patient Stories,Apollo Hospitals
274,['Nephrologist3'],Dr. Dhakshina Murthy,36 years experience overall,"Hyderguda,Hyderabad",Free Consultation,100% ,2 Patient Stories,Apollo Hospitals
275,['Hematologist2'],Dr. Padmaja Lokireddy,25 years experience overall,"Jubilee Hills,Hyderabad",₹1000,83% ,7 Patient Stories,Apollo Hospitals
276,['Pediatrician2'],Dr. Vishnuvardhan Reddy M,28 years experience overall,"Jubilee Hills,Hyderabad",₹600,72% ,30 Patient Stories,Apollo Hospitals
277,['Cardiologist3'],Dr. R. Balaji,34 years experience overall,"Hitech City,Hyderabad",₹700,97% ,106 Patient Stories,Apollo Hospitals
278,['Dentist3'],Dr. M. S. Sushma Susik,32 years experience overall,"Mehdipatnam,Hyderabad",₹300,98% ,431 Patient Stories,Apollo Hospitals
279,['Urologist3'],Dr. DVSLN Sharma,33 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,6 Patient Stories,Apollo Hospitals
280,['Ophthalmologist3'],Dr. Rajesh Fogla,30 years experience overall,"Jubilee Hills,Hyderabad",₹800,95% ,9 Patient Stories,Apollo Hospitals
281,['Cardiologist3'],Dr. E A Padma Kumar,37 years experience overall,"Hitech City,Hyderabad",₹700,92% ,11 Patient Stories,Apollo Hospitals
282,['Ophthalmologist3'],Dr. Shikha Fogla,31 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,2 Patient Stories,Apollo Hospitals
283,['Cardiologist3'],Dr. Manoj Kumar Agarwala,33 years experience overall,"Jubilee Hills,Hyderabad",₹1200,90% ,5 Patient Stories,Apollo Hospitals
284,['Ear-Nose-Throat (ENT) Specialist1'],Dr. D.Vidyasagar,22 years experience overall,"Secunderabad,Hyderabad",₹800,99% ,165 Patient Stories,Apollo Hospitals
285,['Cardiothoracic Surgeon2'],Dr. Krishna Prasad A R,29 years experience overall,"Hitech City,Hyderabad",₹500,71% ,5 Patient Stories,Apollo Hospitals
286,['Ear-Nose-Throat (ENT) Specialist2'],Dr. Nadeem Qadri,14 years experience overall,"Tolichowki,Hyderabad",₹500,99% ,163 Patient Stories,Apollo Hospitals
287,['Dentist1'],Dr. Radha Shah,28 years experience overall,"Jubilee Hills,Hyderabad",₹1000,86% ,14 Patient Stories,Apollo Hospitals
288,['Dermatologist2'],Dr. Sarika P,17 years experience overall,"Banjara Hills,Hyderabad",₹350,99% ,115 Patient Stories,Apollo Hospitals
289,['Dentist1'],Dr. Vemuru sudhakar Prasad,42 years experience overall,"Jubilee Hills,Hyderabad",₹1500,64% ,8 Patient Stories,Apollo Hospitals
290,['Plastic Surgeon4'],Dr. Amitha Indersen,19 years experience overall,"Jubilee Hills,Hyderabad",₹600,83% ,3 Patient Stories,Apollo Hospitals
291,['Gynecologist/Obstetrician1'],Dr. Vijay Bandikatla,26 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,5 Patient Stories,Apollo Hospitals
292,['Pain Management Specialist2'],Dr. Deepika Sirineni,10 years experience overall,"Hyderguda,Hyderabad",₹600,100% ,6 Patient Stories,Apollo Hospitals
293,['Neurologist1'],Dr. L Kiran Kumar   (Physiotherapist),17 years experience overall,"KPHB,Hyderabad",₹300,98% ,180 Patient Stories,Apollo Hospitals
294,['Physiotherapist1'],Dr. Chandrashekhar Reddy,24 years experience overall,"Chanda Nagar,Hyderabad",₹300,98% ,10 Patient Stories,Apollo Hospitals
295,['Dentist2'],Dr. Sanjai Addla,26 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,10 Patient Stories,Apollo Hospitals
296,['Radiologist1'],Dr. Balaji Patel,19 years experience overall,"Jubilee Hills,Hyderabad",₹500,93% ,13 Patient Stories,Apollo Hospitals
297,['Urologist2'],Dr. Seshasaina Reddy,22 years experience overall,"Madhapur,Hyderabad",₹1500,97% ,295 Patient Stories,Apollo Hospitals
298,['\xa0Homoeopath2'],Dr. Sai Lakshmi Daayana,23 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,13 Patient Stories,Apollo Hospitals
299,['Oncologist2'],Dr. Ravi Kumar P,22 years experience overall,"Hitech City,Hyderabad",₹500,86% ,5 Patient Stories,Apollo Hospitals
300,['Orthopedist2'],Mr. Neela Sandeep,14 years experience overall,"Chanda Nagar,Hyderabad",₹300,97% ,18 Patient Stories,Mythri Speech And Hearing Clinic
301,['Audiologist1'],Dr. Srinivas R Bogavalli,18 years experience overall,"Manikonda,Hyderabad",₹300,98% ,45 Patient Stories,Mythri Speech And Hearing Clinic
302,['Dentist1'],Dr. Somasekhar Reddy. N,39 years experience overall,"Jubilee Hills,Hyderabad",₹1000,75% ,8 Patient Stories,Mythri Speech And Hearing Clinic
303,['Orthopedist3'],Dr. Rajesh Reddy Chenna,24 years experience overall,"Jubilee Hills,Hyderabad",₹1000,76% ,12 Patient Stories,Mythri Speech And Hearing Clinic
304,['Neurologist2'],Dr. Krishna Kiran Eachempati,22 years experience overall,"Hitech City,Hyderabad",₹500,68% ,12 Patient Stories,Mythri Speech And Hearing Clinic
305,['Orthopedist2'],Dr. Raghupathi Rao Nandanavanam,49 years experience overall,"Jubilee Hills,Hyderabad",₹800,67% ,3 Patient Stories,Mythri Speech And Hearing Clinic
306,['General Surgeon4'],Dr. J. Rakee Purnima,14 years experience overall,"LB Nagar,Hyderabad",₹400,98% ,217 Patient Stories,Mythri Speech And Hearing Clinic
307,['Dermatologist1'],Dr. Badri Narayana,40 years experience overall,"Jubilee Hills,Hyderabad",₹1000,83% ,5 Patient Stories,Mythri Speech And Hearing Clinic
308,['Cardiologist4'],Dr. B. Sudhakar,47 years experience overall,"Ameerpet,Hyderabad",₹500,100% ,5 Patient Stories,Mythri Speech And Hearing Clinic
309,['Nephrologist4'],Dr. Chinnababu Sunkavalli,24 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,2 Patient Stories,Mythri Speech And Hearing Clinic
310,['Oncologist2'],Dr. Amitav Ray,32 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,1 Patient Story,Apollo Hospitals
311,['General Surgeon3'],Dr. Swathi Thaduri,12 years experience overall,"Nallagandla,Hyderabad",₹500,100% ,12 Patient Stories,Apollo Hospitals
312,['Gynecologist/Obstetrician1'],Dr. K.M.K Reddy P,25 years experience overall,"Jubilee Hills,Hyderabad",₹1000,81% ,6 Patient Stories,Apollo Hospitals
313,['Cardiologist2'],Dr. Andal Reddy,23 years experience overall,"Manikonda,Hyderabad",₹500,95% ,84 Patient Stories,Apollo Hospitals
314,['Gynecologist/Obstetrician2'],Dr. C Raja Krishna Prasad,31 years experience overall,"Hyderguda,Hyderabad",₹1000,83% ,5 Patient Stories,Apollo Hospitals
315,['Bariatric Surgeon3'],Dr. Srinivas Seshabhattaru,21 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,3 Patient Stories,Apollo Hospitals
316,['General Surgeon2'],Dr. V.K.Srinagesh,37 years experience overall,"Jubilee Hills,Hyderabad",₹1000,71% ,1 Patient Story,Apollo Hospitals
317,['Nephrologist3'],Dr. Tarun Kumar Saha,36 years experience overall,"Secunderabad,Hyderabad",₹1000,90% ,9 Patient Stories,Apollo Hospitals
318,['Plastic Surgeon3'],Dr. Pavan Kumar Bichal,35 years experience overall,"Jubilee Hills,Hyderabad",₹1000,80% ,3 Patient Stories,Apollo Hospitals
319,['Pain Management Specialist3'],Dr. K Sravani Reddy,12 years experience overall,"Karkhana,Hyderabad",₹300,98% ,66 Patient Stories,Apollo Hospitals
320,['Dentist1'],Dr. P. Siva Charan Reddy,17 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,4 Patient Stories,Apollo Hospitals
321,['Gynecologist/Obstetrician1'],Dr. Puja Lavania,17 years experience overall,"Chanda Nagar,Hyderabad",₹400,94% ,146 Patient Stories,Apollo Hospitals
322,['Laparoscopic Surgeon1'],Dr. B. Chaithanya,16 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,4 Patient Stories,Apollo Hospitals
323,['Pulmonologist1'],Dr. V Surya Prakash Rao,27 years experience overall,"Hitech City,Hyderabad",₹900,85% ,28 Patient Stories,Apollo Hospitals
324,['Orthopedist2'],Dr. Adusumilli Gopinath,24 years experience overall,"Gachibowli,Hyderabad",₹500,98% ,300 Patient Stories,Apollo Hospitals
325,['Dentist2'],Dr. Nithin Annarapu,17 years experience overall,"Hitech City,Hyderabad",₹500,98% ,13 Patient Stories,Apollo Hospitals
326,['Cardiologist1'],Dr. Sandeep Nayani,16 years experience overall,"Jubilee Hills,Hyderabad",₹800,95% ,8 Patient Stories,Apollo Hospitals
327,['Neurologist1'],Dr. Sridhar Reddy Baddam,15 years experience overall,"Jubilee Hills,Hyderabad",₹800,92% ,6 Patient Stories,Apollo Hospitals
328,['Radiologist1'],Dr. Chandrakant Tarke,15 years experience overall,"Jubilee Hills,Hyderabad",₹800,85% ,10 Patient Stories,Apollo Hospitals
329,['Pulmonologist1'],Dr. Rachna Vinaya Kumar,19 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,2 Patient Stories,Apollo Hospitals
330,['Gynecologist/Obstetrician1'],Dr. Rachna Vinaya Kumar,19 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,2 Patient Stories,Apollo Hospitals
331,['Ophthalmologist1'],Dr. B Varun Rao,18 years experience overall,"Hitech City,Hyderabad",₹650,92% ,90 Patient Stories,Apollo Hospitals
332,['Gastroenterologist1'],Dr. S.V.S Sreedhar,16 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,2 Patient Stories,Apollo Hospitals
333,['Pediatrician1'],Dr. Samiya Razvi,34 years experience overall,"Jubilee Hills,Hyderabad",₹1200,100% ,1 Patient Story,Apollo Hospitals
334,['Pediatrician3'],Dr. M M Shareef,25 years experience overall,"Madhapur,Hyderabad",₹600,96% ,329 Patient Stories,Apollo Hospitals
335,['Ear-Nose-Throat (ENT) Specialist2'],Dr. Sarada Mallemala,41 years experience overall,"Jubilee Hills,Hyderabad",₹700,100% ,3 Patient Stories,Apollo Hospitals
336,['Gynecologist/Obstetrician4'],Dr. Murahari P,16 years experience overall,"Manikonda,Hyderabad",₹500,94% ,11 Patient Stories,Apollo Hospitals
337,['Spine Surgeon1'],Dr. Sanjeev Kumar E,26 years experience overall,"Jubilee Hills,Hyderabad",₹800,93% ,16 Patient Stories,Apollo Hospitals
338,['Cardiologist2'],Dr. B RAJEEV REDDY,14 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,4 Patient Stories,Apollo Hospitals
339,['Orthopedist1'],Dr. Sridevi Paladugu,23 years experience overall,"Jubilee Hills,Hyderabad",₹800,86% ,8 Patient Stories,Apollo Hospitals
340,['Endocrinologist2'],Dr. Sridevi Paladugu,23 years experience overall,"Jubilee Hills,Hyderabad",₹800,86% ,8 Patient Stories,Apollo Sugar Clinic
341,['Dermatologist1'],Dr. Ajay Kumar Paruchuri,20 years experience overall,"Kukatpally,Hyderabad",₹600,95% ,158 Patient Stories,Apollo Sugar Clinic
342,['Spine Surgeon2'],Dr. Siddhartha Maredupaka,11 years experience overall,"Lakdikapul,Hyderabad",₹800,99% ,165 Patient Stories,Apollo Sugar Clinic
343,['Orthopedist1'],Dr. Ravi Vemagiri Andrews,32 years experience overall,"Jubilee Hills,Hyderabad",₹1200,100% ,2 Patient Stories,Apollo Sugar Clinic
344,['Nephrologist3'],Dr. Sushmitha,28 years experience overall,"Ameerpet,Hyderabad",₹600,95% ,25 Patient Stories,Apollo Sugar Clinic
345,['Ear-Nose-Throat (ENT) Specialist2'],Dr. Arun Vontela,14 years experience overall,"Miyapur,Hyderabad",₹700,100% ,8 Patient Stories,Apollo Sugar Clinic
346,['Gastroenterologist2'],Dr. B Prabhakar,28 years experience overall,"Hyderguda,Hyderabad",₹600,58% ,10 Patient Stories,Apollo Sugar Clinic
347,['Orthopedist1'],Dr. Samantha Sathyakumar,18 years experience overall,"Jubilee Hills,Hyderabad",₹700,100% ,1 Patient Story,Apollo Sugar Clinic
348,['Oncologist4'],Dr. Veerendra Mudnoor,18 years experience overall,"Kondapur,Hyderabad",₹700,91% ,40 Patient Stories,Apollo Sugar Clinic
349,['Endocrinologist1'],Dr. S.V.S.S Prasad,41 years experience overall,"Jubilee Hills,Hyderabad",₹1200,50% ,3 Patient Stories,Apollo Sugar Clinic
350,['Oncologist4'],Dr. Narreddy Manohar Reddy,27 years experience overall,"Hyderguda,Hyderabad",₹500,100% ,3 Patient Stories,Apollo Hospital
351,['General Surgeon2'],Dr. Md Safiuddin Quraishi,10 years experience overall,"Tolichowki,Hyderabad",₹300,99% ,106 Patient Stories,Apollo Hospital
352,['Dentist1'],Dr. Yugandhar,21 years experience overall,"KPHB,Hyderabad",₹300,95% ,825 Patient Stories,Apollo Hospital
353,['Dentist2'],Dr. Yalakanti Raghavendra Babu,25 years experience overall,"Lakdikapul,Hyderabad",₹950,100% ,1 Patient Story,Apollo Hospital
